ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO,
8342,0829,0829 JOSEFA ORTÍZ DE DOMÍNGUEZ,JOSEFA ORTÍZ DE DOMÍNGUEZ,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0830,0830 CHIHUAHUA-SACRAMENTO,CHIHUAHUA-SACRAMENTO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0831,0831 MEOQUI-DELICIAS,MEOQUI-DELICIAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0832,0832 JIMÉNEZ-CAMARGO,JIMÉNEZ-CAMARGO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0833,0833 VALLE DE JUÁREZ,VALLE DE JUÁREZ,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0834,0834 PARRAL-VALLE DEL VERANO,PARRAL-VALLE DEL VERANO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0835,0835 TABALAOPA-ALDAMA,TABALAOPA-ALDAMA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0836,0836 ALDAMA-SAN DIEGO,ALDAMA-SAN DIEGO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0837,0837 BAJO RÍO CONCHOS,BAJO RÍO CONCHOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0838,0838 ALTO RÍO SAN PEDRO,ALTO RÍO SAN PEDRO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0839,0839 MANUEL BENAVIDES,MANUEL BENAVIDES,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0840,0840 VILLALBA,VILLALBA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0841,0841 POTRERO DEL LLANO,POTRERO DEL LLANO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0842,0842 ÁLAMO CHAPO,ÁLAMO CHAPO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0843,0843 BOCOYNA,BOCOYNA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0844,0844 VALLE DE ZARAGOZA,VALLE DE ZARAGOZA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0845,0845 SAN FELIPE DE JESÚS,SAN FELIPE DE JESÚS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0846,0846 CARICHI-NONOAVA,CARICHI-NONOAVA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0847,0847 LOS JUNCOS,LOS JUNCOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0848,0848 LAGUNA DE PALOMAS,LAGUNA DE PALOMAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0849,0849 LLANO DE GIGANTES,LLANO DE GIGANTES,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0850,0850 LAS PAMPAS,LAS PAMPAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0851,0851 RANCHO EL ASTILLERO,RANCHO EL ASTILLERO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0852,0852 LAGUNA DE JACO,LAGUNA DE JACO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0853,0853 RANCHO LA GLORIA,RANCHO LA GLORIA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0854,0854 RANCHO DENTÓN,RANCHO DENTÓN,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0855,0855 LAGUNA LOS ALAZANES,LAGUNA LOS ALAZANES,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0856,0856 LAGUNA EL REY,LAGUNA EL REY,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0857,0857 ESCALÓN,ESCALÓN,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0858,0858 LA NORTEÑA,LA NORTEÑA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0859,0859 MADERA,MADERA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0860,0860 GUERRERO-YEPÓMERA,GUERRERO-YEPÓMERA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0861,0861 VALLE DEL PESO,VALLE DEL PESO,08,CHIHUAHUA,08 CHIHUAHUA,
8343,0823,0823 CONEJOS-MÉDANOS,CONEJOS-MÉDANOS,08,CHIHUAHUA,08 CHIHUAHUA,
8344,0833,0833 VALLE DE JUÁREZ,VALLE DE JUÁREZ,08,CHIHUAHUA,08 CHIHUAHUA,
8345,0831,0831 MEOQUI-DELICIAS,MEOQUI-DELICIAS,08,CHIHUAHUA,08 CHIHUAHUA,
8345,0840,0840 VILLALBA,VILLALBA,08,CHIHUAHUA,08 CHIHUAHUA,
8348,0901,0901 ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO,ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO,09,CIUDAD DE MÉXICO,09 CIUDAD DE MÉXICO,
8349,0860,0860 GUERRERO-YEPÓMERA,GUERRERO-YEPÓMERA,08,CHIHUAHUA,08 CHIHUAHUA,
8350,0860,0860 GUERRERO-YEPÓMERA,GUERRERO-YEPÓMERA,08,CHIHUAHUA,08 CHIHUAHUA,
